Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ArkanePsh.Cmdlets\ArkanePsh.Cmdlets.csproj,File,ArkanePsh.Cmdlets\ArkanePsh.Cmdlets.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ArkanePsh\ArkanePsh.pssproj,File,ArkanePsh\ArkanePsh.pssproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.0 Recommended target framework: net10.0"
